1477498133.331446,74186
1477498133.343315,77214
1477498133.348074,77214
1477498133.352521,78728
1477498133.356792,78728
1477498133.361458,78728
1477498133.365875,77214
1477498133.370868,78728
1477498133.375445,78728
1477498133.379762,78728
1477498133.384652,78728
1477498133.389215,78728
1477498133.394000,78728
1477498133.399195,80242
1477498133.403335,80242
1477498133.407109,80242
1477498133.410742,80242
1477498133.414608,80242
1477498133.419275,80242
1477498133.423531,80242
1477498133.432800,78728
1477498133.437589,80242
1477498133.443416,78728
1477498133.449944,80242
1477498133.455349,80242
1477498133.464039,80242
1477498133.469005,80242
1477498133.474514,81756
1477498133.480382,81756
1477498133.486478,81756
1477498133.492224,80242
1477498133.497922,80242
1477498133.503181,80242
1477498133.508776,81756
1477498133.514228,81756
1477498133.519731,81756
1477498133.525117,81756
1477498133.530737,83270
1477498133.536313,83270
1477498133.541512,83270
1477498133.548474,83270
1477498133.553254,83270
1477498133.558058,83270
1477498133.562634,83270
1477498133.567502,83270
1477498133.572710,83270
1477498133.578819,83270
1477498133.583918,81756
1477498133.588870,81756
1477498133.593570,81756
1477498133.597749,84784
1477498133.602401,83270
1477498133.607338,84784
1477498133.612180,84784
1477498133.617359,84784
1477498133.621968,84784
1477498133.626928,84784
1477498133.631598,84784
1477498133.636276,84784
1477498133.640901,84784
1477498133.645590,83270
1477498133.650007,84784
1477498133.654311,83270
1477498133.659058,83270
1477498133.664359,84784
1477498133.668950,86298
1477498133.673308,86298
1477498133.677654,86298
1477498133.682040,84784
1477498133.686057,86298
1477498133.690297,86298
1477498133.694225,84784
1477498133.698245,86298
1477498133.701902,86298
1477498133.706207,86298
1477498133.710382,86298
1477498133.714308,86298
1477498133.718616,86298
1477498133.722909,86298
1477498133.726887,86298
1477498133.731806,86298
1477498133.736623,84784
1477498133.744187,87812
1477498133.750270,87812
1477498133.756797,87812
1477498133.762260,86298
1477498133.767112,86298
1477498133.772861,87812
1477498133.779056,86298
1477498133.784855,87812
1477498133.790352,87812
1477498133.795663,87812
1477498133.801123,87812
1477498133.806585,87812
1477498133.811373,89326
1477498133.817527,89326
1477498133.823206,89326
1477498133.827788,89326
1477498133.833206,89326
1477498133.838982,87812
1477498133.843276,89326
1477498133.848832,89326
1477498133.853530,89326
1477498133.858108,89326
1477498133.862688,89326
1477498133.867956,89326
1477498133.873351,87812
1477498133.879279,89326
1477498133.884671,89326
1477498133.891052,90840
1477498133.896376,89326
1477498133.902983,90840
1477498133.908558,90840
1477498133.913396,89326
1477498133.917852,90840
1477498133.922357,90840
1477498133.926304,90840
1477498133.930831,90840
1477498133.935637,90840
1477498133.940569,90840
1477498133.944456,90840
1477498133.948658,90840
1477498133.953574,90840
1477498133.959354,90840
1477498133.963737,92354
1477498133.967946,92354
1477498133.972228,92354
1477498133.976733,92354
1477498133.980923,92354
1477498133.984617,92354
1477498133.988891,92354
1477498133.992896,92354
1477498133.996744,92354
1477498134.000674,90840
1477498134.005212,92354
1477498134.009812,92354
1477498134.013930,92354
1477498134.018364,92354
1477498134.022567,92354
1477498134.026882,92354
1477498134.031267,93868
1477498134.035780,92354
1477498134.039943,89326
1477498134.043980,86298
1477498134.048754,83270
1477498134.053117,80242
1477498134.057802,77214
1477498134.061764,75700
1477498134.066389,71158
1477498134.074385,68130
1477498134.079748,63588
1477498134.085183,60560
1477498134.090330,57532
1477498134.095595,54504
1477498134.101620,49962
1477498134.107722,46934
1477498134.113058,43906
1477498134.119640,40878
1477498134.124024,37850
1477498134.129145,33308
1477498134.133785,31794
1477498134.138953,27252
1477498134.143742,24224
1477498134.147323,22710
1477498134.151835,21196
1477498134.156806,21196
1477498134.161420,22710
1477498134.166041,24224
1477498134.170145,24224
1477498134.174242,24224
1477498134.178616,24224
1477498134.182600,22710
1477498134.186611,25738
1477498134.190601,25738
1477498134.194694,25738
1477498134.198982,25738
